name,phone_number,confectionery_id
Noach Bryon,7-378-347-6581,298
Ellis Ellen,8-437-655-7322,680
Vince Fred,8-652-277-6572,865
Williams Colleen,8-471-126-7373,939
Walter Chester,1-437-835-3522,1490
Lindsay Juliette,1-273-265-3353,1912
Lindop Paula,3-383-671-5164,145
Dobson Kirsten,4-867-626-1444,196
Kelly Ron,4-387-776-4361,1385
Graham Clarissa,6-434-232-4666,584
Morrison Zara,6-133-311-4116,1070
Norman Julius,4-746-616-5132,1862
Bell Carl,4-241-884-4475,1947
Edwards Ruby,7-728-288-8228,861
Wade Maddison,2-738-541-3261,720
Lane Abbey,1-435-536-3725,632
Simpson Aleksandra,5-243-565-3616,980
Adams Dorothy,5-811-152-5574,1056
Roscoe Zoe,2-843-278-5345,382
Morgan Logan,7-715-653-2744,1253
Higgs Sharon,2-156-871-6145,814
Lakey Jacqueline,3-516-855-8147,1560
Potter Remy,2-881-246-8617,163
Patel Carissa,2-543-275-2656,87
Edler Regina,1-483-254-6416,1373
Jackson Carissa,5-578-333-3585,1475
Allcott Erica,4-166-132-5157,1689
Vinton Rufus,2-355-123-6176,361
Cox Rose,8-228-551-6674,1909
Warner Melinda,4-211-732-6442,927
Hilton Katelyn,2-734-565-2681,1247
Fox Marla,2-425-342-2536,794
Buckley Chelsea,1-474-556-4777,151
Armstrong Julian,6-286-262-1578,1145
Hewitt Noah,2-752-767-5214,196
Stanley Nick,4-717-644-1368,600
Baker Martin,8-837-614-1317,1424
Edley Fred,5-641-324-8447,1330
Williams Doug,3-685-157-5148,1465
Bingham Manuel,7-645-127-1245,127
Todd Ema,4-253-627-2527,231
Wallace Domenic,4-625-612-6475,1105
Mccall Carrie,4-722-872-4168,841
Sanchez Jayden,1-337-178-4762,1007
Norburn Daphne,6-128-688-3753,414
Reid Caydence,6-322-722-7165,890
Richards Cristal,3-188-172-8631,128
Collis Drew,6-752-173-1784,571
Morrow Valerie,5-571-333-2774,866
Whatson Carol,1-652-178-2481,1970
Vincent Danielle,5-154-752-5854,1135
Edwards Madelyn,4-621-776-8246,658
Rainford Katelyn,3-132-247-1128,250
Appleton Cadence,2-287-437-1178,96
Stevens Carl,2-646-332-5125,1144
Wooldridge Tom,6-135-344-6684,26
Tobin Nate,4-418-826-8448,1371
Appleton Belinda,7-621-276-8767,100
Roscoe Erick,3-827-724-2868,104
Rogan Jaylene,6-517-277-2256,1067
Oldfield Macy,2-135-285-1853,1058
Russel Nicholas,7-774-821-7514,1503
Edler David,6-287-577-3832,1108
Lee Denis,3-677-677-8311,460
Fox Matthew,2-477-816-4648,898
Huggins Samantha,6-857-768-2528,590
Lucas Shannon,5-172-177-3366,524
Watt Madison,4-875-426-8713,464
Cameron Ember,7-162-776-5187,1259
Quinnell Tony,4-787-785-1438,405
Durrant Angelina,5-473-856-8576,795
