date_of_receipt_of_the_order,delivery_address,confectioner_id,courier_id,customer_id,discount_id,package_id
2015-09-22 10:23:07Z,Bacton   Tunnel,1914,1557,44,,
2019-04-15 21:04:32Z,Comet House  Walk,555,1667,593,,
2020-06-23 12:01:23Z,Carltoun   Hill,750,1856,1511,,
2011-01-09 13:54:10Z,Cleveland  Road,1724,1209,1137,,
2016-03-07 02:21:06Z,Parkfield  Way,648,1413,117,,
2019-01-24 02:00:43Z,Pine Grove,1105,1480,1383,,
2022-12-24 00:22:49Z,Fawn Lane,1000,1757,424,,
2011-04-13 12:24:02Z,Blue Anchor  Drive,485,1604,1478,,
2022-01-19 15:02:22Z,Lexington Route,1009,1355,1628,,
2019-10-24 07:28:28Z,Carolina  Walk,679,1727,1141,,
2012-06-09 14:20:27Z,Geary   Way,849,451,331,,
2018-04-08 14:25:02Z,Blake  Tunnel,1402,1250,101,,
2018-06-28 14:56:00Z,King Edward  Alley,163,1490,1089,,
2019-05-15 14:54:38Z,Buttonwood Walk,769,110,323,,
2015-01-27 10:04:24Z,Timber   Crossroad,414,1737,62,,
2014-12-26 16:49:12Z,Cephas  Drive,1444,1372,496,,
2018-01-16 04:18:16Z,East Crossroad,161,1407,1219,,
2013-03-07 22:55:36Z,Shepherds  Grove,225,622,344,,
2022-09-09 05:38:05Z,Fairbairn  Grove,74,1395,73,,
2019-04-07 11:49:54Z,Cingworth  Road,1144,1531,1751,,
2021-01-21 02:03:11Z,Buttonwood Tunnel,495,1924,1764,,
2011-03-30 17:02:22Z,Enderby   Avenue,1647,1491,893,,
2017-09-02 12:22:50Z,Capeners  Rue,1669,736,401,,
2020-01-29 07:03:53Z,Howard Lane,1144,523,403,,
2011-06-12 17:53:23Z,Aspen Crossroad,1159,1882,1850,,
2022-11-06 07:23:21Z,Railroad Street,1157,1963,484,,
2016-06-21 00:51:21Z,Chapel  Drive,108,944,1285,,
2020-09-11 04:43:08Z,Rail Crossroad,539,1425,1945,,
2017-01-07 04:39:31Z,Cam  Boulevard,1540,1692,78,,
2020-06-06 09:12:51Z,King Edward  Road,1308,149,520,,
2014-05-17 17:23:55Z,Gate   Route,394,1513,1511,,
2012-06-29 19:30:32Z,Sheringham   Route,418,78,1589,,
2017-05-05 22:43:33Z,Caroline  Avenue,1852,503,121,,
2015-07-08 21:50:39Z,Vine  Pass,1168,1865,1934,,
2017-05-19 13:49:17Z,Collins  Avenue,1094,1157,19,,
